index	inv	GRIB_COMMENT	GRIB_DISCIPLINE	GRIB_ELEMENT
1	CLWMR:1 hybrid level	Cloud mixing ratio [kg/kg]	0(Meteorological)	CLWMR
2	ICMR:1 hybrid level	Ice water mixing ratio [kg/kg]	0(Meteorological)	ICMR
3	RWMR:1 hybrid level	Rain mixing ratio [kg/kg]	0(Meteorological)	RWMR
4	SNMR:1 hybrid level	Snow mixing ratio [kg/kg]	0(Meteorological)	SNMR
5	GRLE:1 hybrid level	Graupel (snow pellets) [kg/kg]	0(Meteorological)	GRLE
6	REFC:entire atmosphere	Maximum / Composite radar reflectivity [dB]	0(Meteorological)	REFC
7	VIS:surface	Visibility [m]	0(Meteorological)	VIS
8	UGRD:planetary boundary layer	u-component of wind [m/s]	0(Meteorological)	UGRD
9	VGRD:planetary boundary layer	v-component of wind [m/s]	0(Meteorological)	VGRD
10	VRATE:planetary boundary layer	Ventilation Rate [m^2/s]	0(Meteorological)	VRATE
11	GUST:surface	Wind speed (gust) [m/s]	0(Meteorological)	GUST
12	HGT:0.4 mb	Geopotential height [gpm]	0(Meteorological)	HGT
13	TMP:0.4 mb	Temperature [C]	0(Meteorological)	TMP
14	ABSV:0.4 mb	Absolute vorticity [1/s]	0(Meteorological)	ABSV
15	O3MR:0.4 mb	Ozone Mixing Ratio [kg/kg]	0(Meteorological)	O3MR
16	HGT:1 mb	Geopotential height [gpm]	0(Meteorological)	HGT
17	TMP:1 mb	Temperature [C]	0(Meteorological)	TMP
18	RH:1 mb	Relative humidity [%]	0(Meteorological)	RH
19	UGRD:1 mb	u-component of wind [m/s]	0(Meteorological)	UGRD
20	VGRD:1 mb	v-component of wind [m/s]	0(Meteorological)	VGRD
21	O3MR:1 mb	Ozone Mixing Ratio [kg/kg]	0(Meteorological)	O3MR
22	HGT:2 mb	Geopotential height [gpm]	0(Meteorological)	HGT
23	TMP:2 mb	Temperature [C]	0(Meteorological)	TMP
24	RH:2 mb	Relative humidity [%]	0(Meteorological)	RH
